Anno;Parametro;Punto di parametro;Importo annuo;+/-;Media
2025;124,75;195,5;24.388,63 €;0,00%;1,75%
2024;124,75;195,5;24.388,63 €;6,21%;
2023;124,75;184,0659;22.962,22 €;0,00%;
01/07/2022;124,75;184,0659;22.962,22 €;0,20%;
01/04/2022;124,75;183,6993;22.916,49 €;0,30%;
2021;124,75;183,15;22.847,96 €;2,03%;
2020;124,75;179,5;22.392,63 €;0,11%;
2019;124,75;179,3;22.367,68 €;0,70%;
2018;124,75;178,05;22.211,74 €;1,33%;
01/10/2017;124,75;175,71;21.919,82 €;3,31%;
2017;120,75;175,71;21.216,98 €;0,62%;
01/01/2016;120,75;174,62;21.085,37 €;1,11%;
2016;120,75;172,7;20.853,53 €;0,00%;
2015;120,75;172,7;20.853,53 €;0,00%;
31/12/2014;120,75;172,7;20.853,53 €;0,00%;
2013;120,75;172,7;20.853,53 €;0,00%;
2012;120,75;172,7;20.853,53 €;0,00%;
2011;120,75;172,7;20.853,53 €;0,00%;
2010;120,75;172,7;20.853,53 €;0,00%;
2009;120,75;172,7;20.853,53 €;4,26%;
2008;120,75;165,65;20.002,24 €;0,58%;
01/02/2007;120,75;164,7;19.887,53 €;5,99%;
2006;120,75;155,39;18.763,34 €;0,58%;
2005;120,75;154,5;18.655,88 €;13,80%;
2004;;;16.393,27 €;1,93%;
2003;;;16.083,55 €;1,51%;
2002;;;15.843,55 €;2,74%;
2001;;;15.420,96 €;;
